a_rank_overlay,bench_rank_overlay,track,company,state,hq,w4_composite,overlay_pts_sum,overlay_composite,data_confidence,sub_sector_derived,scale_tier_derived,fleet_buses,drivers,founded,fmcsa_source,usdot,_sf,_su,_geo,_ind,_oh,_rel,composite,a_rank,bench_rank,valuation_attractiveness_pts,valuation_attractiveness_cite,valuation_attractiveness_flag,size_margin_signal_pts,size_margin_signal_cite,size_margin_signal_flag,succession_pts,succession_cite,succession_flag,driver_market_risk_pts,driver_market_risk_cite,driver_market_risk_flag,outsourcing_ev_mandate_pts,outsourcing_ev_mandate_cite,outsourcing_ev_mandate_flag,contract_renewal_timing_pts,contract_renewal_timing_cite,contract_renewal_timing_flag,ut_expansion_bonus_pts,ut_expansion_bonus_cite,ut_expansion_bonus_flag,iv_fleet_used,iv_fleet_source,iv_rev_low,iv_rev_point,iv_rev_high,iv_ebitda_low,iv_ebitda_point,iv_ebitda_high,iv_ev_mult_entry_low,iv_ev_mult_entry_point,iv_ev_mult_entry_high,iv_ev_perbus_low,iv_ev_perbus_point,iv_ev_perbus_high,iv_ev_entry_consensus_low,iv_ev_entry_consensus_high,iv_ev_build_8x_point,iv_value_creation_spread_point,iv_flag,iv_citation,da_revenue_est,da_employees,web_employees_est,da_size_tier,web_ownership_type,web_owner_or_parent,web_succession_signal,web_service_types,web_districts_or_customers,web_website
675,,A,Wonderful Blessed Care Inc,TX,"Houston, TX",68.8,16.0,84.8,1.0,S,<50,9,4,2007,census(medium),2549686,65,60,70,100,50,75,68.8,816,,18.0,Summit tuck-in deals + IOI heuristic [mixed; geo=national/scale=tuck-in/sub=all],,-2.0,Summit SpEd-heavy bids/deals [mixed; geo=national/scale=all/sub=S],,0.0,master_targets.founded=2007 (business age=19y @ NOW=2026),,0.0,Project Evergreen HR DD (actual turnover) [mixed; geo=national/scale=all/sub=all],national_only_no_state_signal,0,,no_state_signal,0,,reserved_zero,0,,non_ut,9,census(medium),810000,945000,1017000,186300,255150,345780,558900,1020600,1728900,603000,900000,1170000,603000,1170000,2041200,1020600,,rev_per_bus:Summit SpEd-heavy bids/deals ; ebitda_margin:Solaris/Sunrise (~95% SpEd) + SpEd-rich pipeline ; entry_mult:Summit arbitrage thesis (Stakeholder-T) + IOI heuristic (Notes §8.1) ; ev_per_bus:Summit tuck-in deals ; build_mult:Summit arbitrage thesis (Stakeholder-T),159000,2,2,single,independent,independent,unknown,"[""non-emergency medical transportation (NEMT)"", ""home health / assisted living""]","[""Medicare"", ""Medicaid"", ""private pay""]",http://www.wonderfulblessedcare.net/
676,,A,A-1 Affordable Wheelchair Co,NC,"Charlotte, NC",68.8,16.0,84.8,1.0,S,<50,6,6,2009,census(medium),3819158,65,60,70,100,50,75,68.8,817,,18.0,Summit tuck-in deals + IOI heuristic [mixed; geo=national/scale=tuck-in/sub=all],,-2.0,Summit SpEd-heavy bids/deals [mixed; geo=national/scale=all/sub=S],,0.0,master_targets.founded=2009 (business age=17y @ NOW=2026),,0.0,Project Evergreen HR DD (actual turnover) [mixed; geo=national/scale=all/sub=all],national_only_no_state_signal,0,,no_state_signal,0,,reserved_zero,0,,non_ut,6,census(medium),540000,630000,678000,124200,170100,230520,372600,680400,1152600,402000,600000,780000,402000,780000,1360800,680400,,rev_per_bus:Summit SpEd-heavy bids/deals ; ebitda_margin:Solaris/Sunrise (~95% SpEd) + SpEd-rich pipeline ; entry_mult:Summit arbitrage thesis (Stakeholder-T) + IOI heuristic (Notes §8.1) ; ev_per_bus:Summit tuck-in deals ; build_mult:Summit arbitrage thesis (Stakeholder-T),145000,2,2,single,family-owned,independent,medium,"[""NEMT"", ""wheelchair transport"", ""special-needs student transport"", ""school""]","[""Charlotte-Mecklenburg Schools (CMS Transportation Office referral relationship per company profile)"", ""Mecklenburg County NEMT clients""]",https://www.a1patienttransport.com/
677,,A,Sparrow-A Transportation Co,NJ,"Millville, NJ",68.8,16.0,84.8,0.8,S,<50,8,8,2008,census(medium),1761846,65,60,70,100,50,75,68.8,818,,18.0,Summit tuck-in deals + IOI heuristic [mixed; geo=national/scale=tuck-in/sub=all],,-2.0,Summit SpEd-heavy bids/deals [mixed; geo=national/scale=all/sub=S],,0.0,master_targets.founded=2008 (business age=18y @ NOW=2026),,0.0,Project Evergreen HR DD (actual turnover) [mixed; geo=national/scale=all/sub=all],national_only_no_state_signal,0,,no_state_signal,0,,reserved_zero,0,,non_ut,8,census(medium),720000,840000,904000,165600,226800,307360,496800,907200,1536800,536000,800000,1040000,536000,1040000,1814400,907200,,rev_per_bus:Summit SpEd-heavy bids/deals ; ebitda_margin:Solaris/Sunrise (~95% SpEd) + SpEd-rich pipeline ; entry_mult:Summit arbitrage thesis (Stakeholder-T) + IOI heuristic (Notes §8.1) ; ev_per_bus:Summit tuck-in deals ; build_mult:Summit arbitrage thesis (Stakeholder-T),752000,10,10,single,independent,independent,unknown,"[""special-needs"", ""NEMT""]",Easter Seals Workshops (special-needs adult day program transport); operates under FMCSA MC-644037 / USDOT 1761846,
678,,A,Anytime Anywhere Trnsprtn,KS,"Wichita, KS",68.8,16.0,84.8,0.8,S,<50,6,5,2009,census(medium),1957827,65,60,70,100,50,75,68.8,819,,18.0,Summit tuck-in deals + IOI heuristic [mixed; geo=national/scale=tuck-in/sub=all],,-2.0,Summit SpEd-heavy bids/deals [mixed; geo=national/scale=all/sub=S],,0.0,master_targets.founded=2009 (business age=17y @ NOW=2026),,0.0,Project Evergreen HR DD (actual turnover) [mixed; geo=national/scale=all/sub=all],national_only_no_state_signal,0,,no_state_signal,0,,reserved_zero,0,,non_ut,6,census(medium),540000,630000,678000,124200,170100,230520,372600,680400,1152600,402000,600000,780000,402000,780000,1360800,680400,,rev_per_bus:Summit SpEd-heavy bids/deals ; ebitda_margin:Solaris/Sunrise (~95% SpEd) + SpEd-rich pipeline ; entry_mult:Summit arbitrage thesis (Stakeholder-T) + IOI heuristic (Notes §8.1) ; ev_per_bus:Summit tuck-in deals ; build_mult:Summit arbitrage thesis (Stakeholder-T),276000,4,1,single,independent,independent,unknown,"[""NEMT"", ""special-needs van"", ""disabled services""]",[],
679,,A,E D Transportation LLC,PA,"Philadelphia, PA",67.5,17.0,84.5,1.0,S,<50,2,2,2019,agent,3355551,40,25,100,100,100,75,67.5,833,,18.0,Summit tuck-in deals + IOI heuristic [mixed; geo=national/scale=tuck-in/sub=all],,0,,no_verified_fleet,-8.0,master_targets.founded=2019 (business age=7y @ NOW=2026),,0.0,Project Evergreen HR DD (actual turnover) [mixed; geo=national/scale=all/sub=all],national_only_no_state_signal,7.0,Onboarding Market Strategy Memo + data-room state docs [dataroom_synthesis; geo=PA/scale=all/sub=Y] ; State EV-mandate primary docs (data room lane 09 / state) [dataroom_evidence; geo=PA/scale=all/sub=all],,0,,reserved_zero,0,,non_ut,,agent,,,,,,,,,,,,,,,,,no_verified_fleet,,441000,6,6,small(2-5),independent,independent,unknown,"[""paratransit/wheelchair transport"", ""NEMT (non-emergency medical)""]",Operates in City and County of Philadelphia under PA PUC common-carrier paratransit application; serves medical/rehab appointments; no confirmed school-bus or district contracts,https://www.wwwedtransportation.com/
680,,A,Caring Heart Transport LLC,WI,"Janesville, WI",66.5,18.0,84.5,0.6,S,<50,,,2004,none,,80,60,30,100,50,75,66.5,880,,18.0,Summit tuck-in deals + IOI heuristic [mixed; geo=national/scale=tuck-in/sub=all],,0,,no_verified_fleet,0.0,master_targets.founded=2004 (business age=22y @ NOW=2026),,0.0,Project Evergreen HR DD (actual turnover) [mixed; geo=national/scale=all/sub=all],national_only_no_state_signal,0,,no_state_signal,0,,reserved_zero,0,,non_ut,,none,,,,,,,,,,,,,,,,,no_verified_fleet,,735000,10,10,single,independent,independent,low,"[""NEMT"", ""special-needs"", ""wheelchair"", ""senior""]","Approved provider with area hospitals; Lakeland Care Inc. (Family Care/IRIS) network; service area across Rock, Walworth, Green, and Dane counties (Janesville, Madison, Beloit, Monroe, etc.)",https://chtrides.com/
681,,A,P R Brown Bus Inc,PA,"New Bethlehem, PA",71.5,13.0,84.5,0.4,Y,<50,,,2021,none,,80,25,100,100,50,90,71.5,727,,14.0,Summit tuck-in deals + IOI heuristic [mixed; geo=national/scale=tuck-in/sub=all],,0,,no_verified_fleet,-8.0,master_targets.founded=2021 (business age=5y @ NOW=2026),,0.0,Project Evergreen HR DD (actual turnover) [mixed; geo=national/scale=all/sub=all],national_only_no_state_signal,7.0,Onboarding Market Strategy Memo + data-room state docs [dataroom_synthesis; geo=PA/scale=all/sub=Y] ; State EV-mandate primary docs (data room lane 09 / state) [dataroom_evidence; geo=PA/scale=all/sub=all],,0,,reserved_zero,0,,non_ut,,none,,,,,,,,,,,,,,,,,no_verified_fleet,,672000,16,~16,single,family-owned,independent (Paul R. Brown),medium,school bus (regular home-to-school plus after-school activity runs),"Clarion Area School District (Clarion County, PA) - primary contract worth ~$390K for 2022-23 with CPI escalators; cameras installed on all buses",
682,,A,School Days Inc,NY,"Brooklyn, NY",76.5,7.8,84.3,0.8,Y,<50,1,1,1979,census(medium),1075802,40,100,100,100,50,90,76.5,541,,14.0,Summit tuck-in deals + IOI heuristic [mixed; geo=national/scale=tuck-in/sub=all],,-10.0,Summit bid teardowns (HSD214/Alton/CCC/Fresno) [mixed; geo=national/scale=all/sub=all],,8.0,master_targets.founded=1979 (business age=47y @ NOW=2026),,0.0,Project Evergreen HR DD (actual turnover) [mixed; geo=national/scale=all/sub=all],national_only_no_state_signal,-4.2,Onboarding Market Strategy Memo + data-room state docs [dataroom_synthesis; geo=NY/scale=all/sub=Y] ; State EV-mandate primary docs (data room lane 09 / state) [dataroom_evidence; geo=NY/scale=all/sub=all],,0,,reserved_zero,0,,non_ut,1,census(medium),78000,98000,113000,12090,19600,38420,36270,78400,192100,67000,100000,130000,67000,130000,156800,78400,,rev_per_bus:Summit bid teardowns (HSD214/Alton/CCC/Fresno) ; ebitda_margin:Summit live/pipeline operator adj. EBITDA margins ; entry_mult:Summit arbitrage thesis (Stakeholder-T) + IOI heuristic (Notes §8.1) ; ev_per_bus:Summit tuck-in deals ; build_mult:Summit arbitrage thesis (Stakeholder-T),1367000,35,41,single,family-owned,independent (Tufaro family),high,"[""school"", ""NYC DOE pupil transportation"", ""charter""]","NYC Department of Education / Office of Pupil Transportation (OPT). Sister/co-located entity Tufaro Transit Co. Inc. operates from same 225 Van Brunt St, Brooklyn address with same (718) 237-9200 phone; FMCSA shows 41 power units and 41 drivers under USDOT 350708 / MC 165111. NLRB cases (2013) indicate a unionized Brooklyn pupil-transport workforce typical of NYC OPT contractors.",
683,,A,Robinson Transport Inc,IL,"Metropolis, IL",84.0,0.0,84.0,1.0,Y,250+,310,260,2000,census(high),879350,70,85,70,100,100,90,84.0,340,,-6.0,Mobico/NELLC -> I Squared (FY24) [external_filing; geo=national/scale=platform/sub=all],,6.0,Summit bid teardowns (HSD214/Alton/CCC/Fresno) [mixed; geo=national/scale=all/sub=all],,0.0,master_targets.founded=2000 (business age=26y @ NOW=2026),,0.0,Project Evergreen HR DD (actual turnover) [mixed; geo=national/scale=all/sub=all],national_only_no_state_signal,0,,no_state_signal,0,,reserved_zero,0,,non_ut,310,census(high),24180000,30380000,35030000,3747900,6076000,11910200,11243700,24304000,59551000,,,,11243700,59551000,48608000,24304000,,rev_per_bus:Summit bid teardowns (HSD214/Alton/CCC/Fresno) ; ebitda_margin:Summit live/pipeline operator adj. EBITDA margins ; entry_mult:Summit arbitrage thesis (Stakeholder-T) + IOI heuristic (Notes §8.1) ; build_mult:Summit arbitrage thesis (Stakeholder-T),1221000,40,250-400 (est.; revenue/contract scale implies materially more than the 40 listed),single,family-owned,independent,high,"[""school""]","30+ contracts across Southern IL and SE MO incl. Massac County Unit 1, Joppa-Maple Grove; offices in Metropolis IL, Harrisburg IL, and Cape Girardeau MO",https://robinsontransportinc.com
684,,A,Shearer School Bus Station Inc,NM,"Portales, NM",72.0,12.0,84.0,0.8,Y,<50,4,2,1982,census(high),1858983,40,100,70,100,50,90,72.0,680,,14.0,Summit tuck-in deals + IOI heuristic [mixed; geo=national/scale=tuck-in/sub=all],,-10.0,Summit bid teardowns (HSD214/Alton/CCC/Fresno) [mixed; geo=national/scale=all/sub=all],,8.0,master_targets.founded=1982 (business age=44y @ NOW=2026),,0.0,Project Evergreen HR DD (actual turnover) [mixed; geo=national/scale=all/sub=all],national_only_no_state_signal,0,,no_state_signal,0,,reserved_zero,0,,non_ut,4,census(high),312000,392000,452000,48360,78400,153680,145080,313600,768400,268000,400000,520000,268000,520000,627200,313600,,rev_per_bus:Summit bid teardowns (HSD214/Alton/CCC/Fresno) ; ebitda_margin:Summit live/pipeline operator adj. EBITDA margins ; entry_mult:Summit arbitrage thesis (Stakeholder-T) + IOI heuristic (Notes §8.1) ; ev_per_bus:Summit tuck-in deals ; build_mult:Summit arbitrage thesis (Stakeholder-T),863000,30,30,single,family-owned,independent,high,"[""school""]","Portales Municipal School District (Roosevelt County, NM); historical Floyd School District route",
